Valor Arriendo,Valor_Arriendo_SM,Area Construida,Estrato,latitud,longitud,dist_transmilenio_cercana_m,dist_bus_cercana_m,num_farmacias_120m,num_colegios_120m,num_transmilenio_120m,num_bus_120m,dist_farmacia_cercana_m,dist_supermercado_cercano_m,dist_via_principal_m,num_universidades_300m
3800000,2.923076923076923,105.0,,4.7251205,-74.03129,2142.809734596995,216.29468354645067,1.0,1.0,1.0,1.0,82.45255424060433,110.67061422377556,100.53546171600375,1.0
3500000,2.6923076923076925,92.6,,4.718049,-74.07437,365.8272477664309,14.217111905880213,1.0,1.0,1.0,2.0,234.09468606345058,146.41873041086953,71.77382305129476,1.0
2370000,1.823076923076923,30.0,,4.6417546,-74.07715,431.2811113769786,23.301061275357956,1.0,1.0,1.0,3.0,101.6062708485027,95.52883647840784,1201.4270254735068,1.0
2500000,1.9230769230769231,65.0,3.0,4.6074743,-74.08253,256.4116550694867,64.35538469407585,1.0,1.0,1.0,2.0,268.1245521041989,242.62864728804368,120.42573095623533,1.0
13440000,10.338461538461539,140.0,,4.6680274,-74.04932,1219.63116610133,220.88092163361068,1.0,1.0,1.0,1.0,164.47801772735642,156.3942789868673,387.739764833759,1.0
4000000,3.076923076923077,51.0,6.0,4.6832075,-74.05356,366.3207215919873,153.42088370727177,1.0,1.0,1.0,1.0,196.11476805056344,79.61396772985455,122.32204343465949,1.0
4000000,3.076923076923077,67.0,6.0,4.6792,-74.05261,763.3210642659226,195.3055397085587,1.0,1.0,1.0,1.0,180.59799653959283,207.55198958291774,319.76781697772776,1.0
3500000,2.6923076923076925,63.0,,4.685197,-74.05448,129.804365397427,162.95712878821345,1.0,1.0,1.0,1.0,96.09703754005915,229.60098442654115,118.38395893894995,1.0
2600000,2.0,50.0,,4.6884847,-74.05597,282.3024416070051,240.59360908689422,1.0,1.0,1.0,1.0,277.09157505134243,209.57745832418726,204.0654889043486,1.0
5000000,3.8461538461538463,60.0,,4.68033,-74.04624,372.18083491932464,156.4749138675584,1.0,1.0,1.0,1.0,179.16483353769112,214.36826693232092,356.75220183043336,1.0
